Constituency No,Constituency Name,Total Rounds,Rounds Done,Candidate S.N.,Candidate Name,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
105,105 - BHATPARA (West Bengal),12,12,2,ASH NARAYAN SINGH,Communist Party of India (Marxist),2925,44,2969,2.79
105,105 - BHATPARA (West Bengal),12,12,3,DHARMENDRA SHAW,Indian National Congress,433,6,439,0.41
105,105 - BHATPARA (West Bengal),12,12,4,PAWAN KUMAR SINGH,Bharatiya Janata Party,61277,406,61683,58.02
105,105 - BHATPARA (West Bengal),12,12,5,SADANANDA RAJAK,Bahujan Samaj Party,396,1,397,0.37
105,105 - BHATPARA (West Bengal),12,12,6,SUJIT BOSE,Socialist Unity Centre Of India (COMMUNIST),245,1,246,0.23
105,105 - BHATPARA (West Bengal),12,12,7,ABDULLAH KHAN SAHEB,Independent,444,0,444,0.42
105,105 - BHATPARA (West Bengal),12,12,8,GAURAB PRASAD,Independent,121,1,122,0.11
105,105 - BHATPARA (West Bengal),12,12,9,PAWAN KUMAR SINGH,Independent,195,4,199,0.19
105,105 - BHATPARA (West Bengal),12,12,10,NOTA,None of the Above,930,9,939,0.88
106,106 - JAGATDAL (West Bengal),11,11,1,KANIKA PATRA,Bahujan Samaj Party,538,8,546,0.3
106,106 - JAGATDAL (West Bengal),11,11,2,PARVEZ AHMAD KHAN,All India Forward Bloc,8932,130,9062,4.95
106,106 - JAGATDAL (West Bengal),11,11,3,MANDIRA CHAKRABORTY,Indian National Congress,1218,22,1240,0.68
106,106 - JAGATDAL (West Bengal),11,11,4,DR. RAJESH KUMAR,Bharatiya Janata Party,93541,810,94351,51.5
106,106 - JAGATDAL (West Bengal),11,11,5,SOMENATH SHYAM ICHINI,All India Trinamool Congress,72958,484,73442,40.09
106,106 - JAGATDAL (West Bengal),11,11,6,PRANAB CHOWDHURY,Socialist Unity Centre Of India (COMMUNIST),508,3,511,0.28
106,106 - JAGATDAL (West Bengal),11,11,7,SHEO PRASAD TIWARI,Bharatiya Rashtriya Forward Bloc,219,0,219,0.12
106,106 - JAGATDAL (West Bengal),11,11,8,PRAMOD SINGH,Independent,158,0,158,0.09
106,106 - JAGATDAL (West Bengal),11,11,9,BULA ADHIKARY,Independent,230,1,231,0.13
106,106 - JAGATDAL (West Bengal),11,11,10,RAJESH THAKUR,Independent,1042,3,1045,0.57
106,106 - JAGATDAL (West Bengal),11,11,11,SHARMISTHA DAS,Independent,700,1,701,0.38
106,106 - JAGATDAL (West Bengal),11,11,12,SUVAMAY PAN,Independent,394,10,404,0.22
106,106 - JAGATDAL (West Bengal),11,11,13,SOMENATH MITRA,Independent,311,0,311,0.17
106,106 - JAGATDAL (West Bengal),11,11,14,NOTA,None of the Above,943,29,972,0.53
107,107 - NOAPARA (West Bengal),14,14,1,ARJUN SINGH,Bharatiya Janata Party,93483,932,94415,48.37
107,107 - NOAPARA (West Bengal),14,14,2,ASOKE BHATTACHARYA,Indian National Congress,1885,37,1922,0.98
107,107 - NOAPARA (West Bengal),14,14,3,GARGI CHATTERJEE,Communist Party of India (Marxist),17394,302,17696,9.07
107,107 - NOAPARA (West Bengal),14,14,4,TRINANKUR BHATTACHARJEE,All India Trinamool Congress,76112,647,76759,39.33
107,107 - NOAPARA (West Bengal),14,14,5,MINA MAJUMDAR,Bahujan Samaj Party,571,9,580,0.3
107,107 - NOAPARA (West Bengal),14,14,6,BIPLOB MITRA,Aam Janata Unnayan party,121,1,122,0.06
107,107 - NOAPARA (West Bengal),14,14,7,AMIT KUMAR SHAW,Independent,109,1,110,0.06
107,107 - NOAPARA (West Bengal),14,14,8,IZAHARUL HAQUE,Independent,123,0,123,0.06
107,107 - NOAPARA (West Bengal),14,14,9,JAYANTA KUMAR BANERJEE,Independent,120,1,121,0.06
107,107 - NOAPARA (West Bengal),14,14,10,BANTI RAJAK,Independent,125,0,125,0.06
107,107 - NOAPARA (West Bengal),14,14,11,VIKASH KUMAR RAM,Independent,118,0,118,0.06
107,107 - NOAPARA (West Bengal),14,14,12,BISHAL KUMAR MANDAL,Independent,258,2,260,0.13
107,107 - NOAPARA (West Bengal),14,14,13,MAQSUD HASAN,Independent,874,1,875,0.45
107,107 - NOAPARA (West Bengal),14,14,14,SUPRIYO DEY,Independent,358,0,358,0.18
107,107 - NOAPARA (West Bengal),14,14,15,HRIDAY KANT PATHAK,Independent,221,0,221,0.11
107,107 - NOAPARA (West Bengal),14,14,16,NOTA,None of the Above,1351,21,1372,0.7
108,108 - BARRACKPUR (West Bengal),15,15,1,KAUSTUV BAGCHI,Bharatiya Janata Party,77559,907,78466,50.65
108,108 - BARRACKPUR (West Bengal),15,15,2,RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,62093,551,62644,40.44
108,108 - BARRACKPUR (West Bengal),15,15,3,SAMBHU DAS,Indian National Congress,1166,36,1202,0.78
108,108 - BARRACKPUR (West Bengal),15,15,4,SUMAN RANJAN BANDYOPADHYAY,Communist Party of India (Marxist),10011,186,10197,6.58
108,108 - BARRACKPUR (West Bengal),15,15,5,AMAL KUMAR SEN,Socialist Unity Centre Of India (COMMUNIST),149,3,152,0.1
108,108 - BARRACKPUR (West Bengal),15,15,6,ZAKIR HUSSAIN,Aam Janata Unnayan party,125,0,125,0.08
108,108 - BARRACKPUR (West Bengal),15,15,7,RAJDEEP ROY,Independent,139,0,139,0.09
108,108 - BARRACKPUR (West Bengal),15,15,8,SAMIR KUNDU,Independent,221,3,224,0.14
108,108 - BARRACKPUR (West Bengal),15,15,9,SAROJ SHARMA,Independent,572,0,572,0.37
108,108 - BARRACKPUR (West Bengal),15,15,10,NOTA,None of the Above,1165,32,1197,0.77
109,109 - KHARDAHA (West Bengal),13,13,1,KALYAN CHAKRABORTI,Bharatiya Janata Party,97053,699,97752,49.75
109,109 - KHARDAHA (West Bengal),13,13,2,JAYDEB GHOSH,Indian National Congress,1536,23,1559,0.79
109,109 - KHARDAHA (West Bengal),13,13,3,TAPAS BAR,Bahujan Samaj Party,480,8,488,0.25
109,109 - KHARDAHA (West Bengal),13,13,4,DEBAJYOTI DAS (SUBHO),Communist Party of India (Marxist),19666,152,19818,10.09
109,109 - KHARDAHA (West Bengal),13,13,5,DEVADEEP PUROHIT,All India Trinamool Congress,72875,391,73266,37.28
109,109 - KHARDAHA (West Bengal),13,13,6,DEV KUMAR BISWAS,Hindu Samaj Party,404,0,404,0.21
109,109 - KHARDAHA (West Bengal),13,13,7,NASIM KHAN,Aam Janata Unnayan party,163,0,163,0.08
109,109 - KHARDAHA (West Bengal),13,13,8,NIRMALYA SING,Bharatiya Nyay-Adhikar Raksha Party,177,3,180,0.09
109,109 - KHARDAHA (West Bengal),13,13,9,AMIT DUTTA,Independent,663,0,663,0.34
109,109 - KHARDAHA (West Bengal),13,13,10,KALYANBRATA MAJUMDAR,Independent,225,0,225,0.11
109,109 - KHARDAHA (West Bengal),13,13,11,PALASH DUTTA,Independent,279,3,282,0.14
109,109 - KHARDAHA (West Bengal),13,13,12,SANJIB BISWAS,Independent,389,0,389,0.2
109,109 - KHARDAHA (West Bengal),13,13,13,NOTA,None of the Above,1299,17,1316,0.67
110,110 - DUM DUM UTTAR (West Bengal),16,16,1,CHANDRIMA BHATTACHARYA,All India Trinamool Congress,76433,447,76880,34.42
110,110 - DUM DUM UTTAR (West Bengal),16,16,2,DIPSITA DHAR,Communist Party of India (Marxist),38017,411,38428,17.21
110,110 - DUM DUM UTTAR (West Bengal),16,16,3,DHANANJAY MAITRA,Indian National Congress,1576,31,1607,0.72
110,110 - DUM DUM UTTAR (West Bengal),16,16,4,SATYABRATA MAJUMDER,Bahujan Samaj Party,582,5,587,0.26
110,110 - DUM DUM UTTAR (West Bengal),16,16,5,SOURAV SIKDAR,Bharatiya Janata Party,102610,674,103284,46.24
110,110 - DUM DUM UTTAR (West Bengal),16,16,6,RUHUL AMIN SARDAR,Aam Janata Unnayan party,320,5,325,0.15
110,110 - DUM DUM UTTAR (West Bengal),16,16,7,SANAP MONDAL,Bharatiya Nyay-Adhikar Raksha Party,164,1,165,0.07
110,110 - DUM DUM UTTAR (West Bengal),16,16,8,HARIPADA BISWAS,Mulnibasi Party of India,240,2,242,0.11
110,110 - DUM DUM UTTAR (West Bengal),16,16,9,PRATAP BAIDYA,Independent,355,1,356,0.16
110,110 - DUM DUM UTTAR (West Bengal),16,16,10,NOTA,None of the Above,1460,15,1475,0.66
111,111 - PANIHATI (West Bengal),13,13,1,KALATAN DASGUPTA,Communist Party of India (Marxist),23757,275,24032,13.73
111,111 - PANIHATI (West Bengal),13,13,2,TIRTHANKAR GHOSH,All India Trinamool Congress,58779,362,59141,33.8
111,111 - PANIHATI (West Bengal),13,13,3,RATNA DEBNATH,Bharatiya Janata Party,87279,698,87977,50.28
111,111 - PANIHATI (West Bengal),13,13,4,SUBHASHISH BHATTACHARYA (TATA),Indian National Congress,1157,18,1175,0.67
111,111 - PANIHATI (West Bengal),13,13,5,SWAMINATH KORI,Bahujan Samaj Party,194,4,198,0.11
111,111 - PANIHATI (West Bengal),13,13,6,AFSANA KHATOON,Aam Janata Unnayan party,83,0,83,0.05
111,111 - PANIHATI (West Bengal),13,13,7,CHANDRA SHEKHAR CHOWDHURI,Socialist Unity Centre Of India (COMMUNIST),149,2,151,0.09
