Constituency No,Constituency Name,Total Rounds,Rounds Done,Candidate S.N.,Candidate Name,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
26,26 - SILIGURI (West Bengal),15,15,4,SHANKAR GHOSH,Bharatiya Janata Party,119752,1008,120760,65.78
26,26 - SILIGURI (West Bengal),15,15,5,SARADINDU CHAKRABORTY (JOY),Communist Party of India (Marxist),9015,153,9168,4.99
26,26 - SILIGURI (West Bengal),15,15,6,MAMATA DAS,Amra Bangalee,250,1,251,0.14
26,26 - SILIGURI (West Bengal),15,15,7,DR. SHAHRIAR ALAM,Socialist Unity Centre Of India (COMMUNIST),242,3,245,0.13
26,26 - SILIGURI (West Bengal),15,15,8,KRISHNA NAND SINGH,Independent,266,5,271,0.15
26,26 - SILIGURI (West Bengal),15,15,9,TARUN TALAPATRA,Independent,563,4,567,0.31
26,26 - SILIGURI (West Bengal),15,15,10,SUNIL PANDIT,Independent,225,1,226,0.12
26,26 - SILIGURI (West Bengal),15,15,11,SURAJ BISHWAKARMA,Independent,455,2,457,0.25
26,26 - SILIGURI (West Bengal),15,15,12,NOTA,None of the Above,1195,29,1224,0.67
27,27 - PHANSIDEWA (West Bengal),15,15,1,DURGA MURMU,Bharatiya Janata Party,117555,686,118241,56.92
27,27 - PHANSIDEWA (West Bengal),15,15,2,NAVANEETA TIRKEY,Indian National Congress,4912,36,4948,2.38
27,27 - PHANSIDEWA (West Bengal),15,15,3,REENA TOPNO EKKA,All India Trinamool Congress,72619,359,72978,35.13
27,27 - PHANSIDEWA (West Bengal),15,15,4,RENUKA MARDI,Aam Janata Unnayan party,1086,4,1090,0.52
27,27 - PHANSIDEWA (West Bengal),15,15,5,SUNITA MURMU,Socialist Unity Centre Of India (COMMUNIST),780,1,781,0.38
27,27 - PHANSIDEWA (West Bengal),15,15,6,SUMANTI EKKA,Communist Party of India (Marxist-Leninist) (Liberation),2217,12,2229,1.07
27,27 - PHANSIDEWA (West Bengal),15,15,7,AMIT KUMAR LAKRA,Independent,3489,14,3503,1.69
27,27 - PHANSIDEWA (West Bengal),15,15,8,BAISHAKHI RAVA ROY,Independent,1752,17,1769,0.85
27,27 - PHANSIDEWA (West Bengal),15,15,9,NOTA,None of the Above,2190,3,2193,1.06
28,28 - CHOPRA (West Bengal),20,20,1,ZAKIR ABEDIN,Indian National Congress,25530,35,25565,12.11
28,28 - CHOPRA (West Bengal),20,20,2,MAKLESWAR RAHAMAN,Communist Party of India (Marxist),5797,19,5816,2.75
28,28 - CHOPRA (West Bengal),20,20,3,SANKAR ADHIKARI,Bharatiya Janata Party,51630,232,51862,24.56
28,28 - CHOPRA (West Bengal),20,20,4,HAMIDUL RAHAMAN,All India Trinamool Congress,120658,328,120986,57.3
28,28 - CHOPRA (West Bengal),20,20,5,AJOY KUMAR SINHA,Amra Bangalee,1488,4,1492,0.71
28,28 - CHOPRA (West Bengal),20,20,6,MD NAZIM SARIF,Aam Janata Unnayan party,2365,1,2366,1.12
28,28 - CHOPRA (West Bengal),20,20,7,MD NASIRUDDIN,Independent,1249,1,1250,0.59
28,28 - CHOPRA (West Bengal),20,20,8,MD PARBEEZ ALAM,Independent,601,0,601,0.28
28,28 - CHOPRA (West Bengal),20,20,9,NOTA,None of the Above,1219,6,1225,0.58
29,29 - ISLAMPUR (West Bengal),18,18,1,AGARWAL KANAIA LAL,All India Trinamool Congress,107744,373,108117,58.14
29,29 - ISLAMPUR (West Bengal),18,18,2,GUDDY RIAZ,Indian National Congress,1386,5,1391,0.75
29,29 - ISLAMPUR (West Bengal),18,18,3,CHITRAJIT ROY,Bharatiya Janata Party,67351,703,68054,36.6
29,29 - ISLAMPUR (West Bengal),18,18,4,MD. SAMI KHAN,Communist Party of India (Marxist),4208,29,4237,2.28
29,29 - ISLAMPUR (West Bengal),18,18,5,RUPA SARKAR,Bahujan Samaj Party,263,1,264,0.14
29,29 - ISLAMPUR (West Bengal),18,18,6,BIRENDRA NATH SINHA,Socialist Unity Centre Of India (COMMUNIST),163,0,163,0.09
29,29 - ISLAMPUR (West Bengal),18,18,7,MD. ZIAUL HAQUE CHOWDHURY,Aam Janata Unnayan party,143,0,143,0.08
29,29 - ISLAMPUR (West Bengal),18,18,8,KAMAL MAJUMDAR,Independent,99,0,99,0.05
29,29 - ISLAMPUR (West Bengal),18,18,9,NEYAZ IMAM,Independent,111,0,111,0.06
29,29 - ISLAMPUR (West Bengal),18,18,10,MD. TOUSIQUE REZA,Independent,240,0,240,0.13
29,29 - ISLAMPUR (West Bengal),18,18,11,MD HASHIBUR RAHAMAN,Independent,753,1,754,0.41
29,29 - ISLAMPUR (West Bengal),18,18,12,SOURAV SARKAR,Independent,368,0,368,0.2
29,29 - ISLAMPUR (West Bengal),18,18,13,NOTA,None of the Above,2017,3,2020,1.09
30,30 - GOALPOKHAR (West Bengal),19,19,1,ZAMALUDDIN,All India Forward Bloc,676,3,679,0.37
30,30 - GOALPOKHAR (West Bengal),19,19,2,MASOOD MD. NASEEM AHSEN,Indian National Congress,2959,7,2966,1.62
30,30 - GOALPOKHAR (West Bengal),19,19,3,MD GHULAM RABBANI,All India Trinamool Congress,121895,210,122105,66.66
30,30 - GOALPOKHAR (West Bengal),19,19,4,SARAJIT BISWAS,Bharatiya Janata Party,38215,100,38315,20.92
30,30 - GOALPOKHAR (West Bengal),19,19,5,SUNIL BISWAS,Bahujan Samaj Party,708,0,708,0.39
30,30 - GOALPOKHAR (West Bengal),19,19,6,TOWHID AHMED KHAN,Aam Janata Unnayan party,286,1,287,0.16
30,30 - GOALPOKHAR (West Bengal),19,19,7,NABIN  CHANDRA SINGHA,Socialist Unity Centre Of India (COMMUNIST),220,3,223,0.12
30,30 - GOALPOKHAR (West Bengal),19,19,8,MD. NAZIR AKHTAR,All India Majlis-E-Inquilab-E-Millat,545,0,545,0.3
30,30 - GOALPOKHAR (West Bengal),19,19,9,SHAMBHU LAL ROY,Swaraj India,1471,0,1471,0.8
30,30 - GOALPOKHAR (West Bengal),19,19,10,MD. GHULAM SARWAR,Independent,14490,5,14495,7.91
30,30 - GOALPOKHAR (West Bengal),19,19,11,RAGHU NATH SINGHA,Independent,448,0,448,0.24
30,30 - GOALPOKHAR (West Bengal),19,19,12,NOTA,None of the Above,933,1,934,0.51
31,31 - CHAKULIA (West Bengal),21,21,1,AZAD MINHAJUL ARFIN,All India Trinamool Congress,90014,263,90277,45.34
31,31 - CHAKULIA (West Bengal),21,21,2,ALI IMRAN RAMZ,Indian National Congress,40272,74,40346,20.26
31,31 - CHAKULIA (West Bengal),21,21,3,GOUTAM PAUL,Bahujan Samaj Party,825,1,826,0.41
31,31 - CHAKULIA (West Bengal),21,21,4,MANOJ KUMAR JAIN,Bharatiya Janata Party,61937,329,62266,31.27
31,31 - CHAKULIA (West Bengal),21,21,5,MOHAFEJUL ISLAM,All India Forward Bloc,837,5,842,0.42
31,31 - CHAKULIA (West Bengal),21,21,6,ABAI DULLAH,Socialist Unity Centre Of India (COMMUNIST),154,1,155,0.08
31,31 - CHAKULIA (West Bengal),21,21,7,MD FEROZ AKHTAR,Aam Janata Unnayan party,142,0,142,0.07
31,31 - CHAKULIA (West Bengal),21,21,8,SUKHEN KUMAR SINGHA,North Bengal People's Party,135,0,135,0.07
31,31 - CHAKULIA (West Bengal),21,21,9,ABUL KASHIM,Independent,97,0,97,0.05
31,31 - CHAKULIA (West Bengal),21,21,10,MD ASLAM,Independent,176,1,177,0.09
31,31 - CHAKULIA (West Bengal),21,21,11,MD TAUQUIR RAZA,Independent,400,1,401,0.2
31,31 - CHAKULIA (West Bengal),21,21,12,MD MOSA,Independent,482,1,483,0.24
31,31 - CHAKULIA (West Bengal),21,21,13,MD SAIFUDDIN,Independent,337,0,337,0.17
31,31 - CHAKULIA (West Bengal),21,21,14,MD. YAMIN AKHTAR,Independent,916,1,917,0.46
31,31 - CHAKULIA (West Bengal),21,21,15,NOTA,None of the Above,1723,1,1724,0.87
32,32 - KARANDIGHI (West Bengal),15,15,1,GOUTAM PAUL,All India Trinamool Congress,76107,284,76391,34.73
32,32 - KARANDIGHI (West Bengal),15,15,2,NIROD BANDHU BISWAS,Bahujan Samaj Party,761,3,764,0.35
32,32 - KARANDIGHI (West Bengal),15,15,3,BIRAJ BISWAS,Bharatiya Janata Party,95813,447,96260,43.76
32,32 - KARANDIGHI (West Bengal),15,15,4,MD. SAHABUDDIN,Communist Party of India (Marxist),39308,106,39414,17.92
32,32 - KARANDIGHI (West Bengal),15,15,5,MURSID ALAM,Indian National Congress,1594,5,1599,0.73
32,32 - KARANDIGHI (West Bengal),15,15,6,SUSHANTA KUMAR SINHA,Socialist Unity Centre Of India (COMMUNIST),154,1,155,0.07
32,32 - KARANDIGHI (West Bengal),15,15,7,ANANDA SINGHA,Independent,204,2,206,0.09
32,32 - KARANDIGHI (West Bengal),15,15,8,GAUTAM PAL,Independent,160,0,160,0.07
32,32 - KARANDIGHI (West Bengal),15,15,9,BAHAMONI HANSDA,Independent,130,1,131,0.06
32,32 - KARANDIGHI (West Bengal),15,15,10,BIRAJ BISWAS,Independent,530,2,532,0.24
32,32 - KARANDIGHI (West Bengal),15,15,11,MD. SAHABUDDIN,Independent,366,3,369,0.17
32,32 - KARANDIGHI (West Bengal),15,15,12,MD. FARUQUE  HOSSAIN,Independent,228,0,228,0.1
32,32 - KARANDIGHI (West Bengal),15,15,13,RAMESH  CHANDRA SINHA,Independent,711,0,711,0.32
32,32 - KARANDIGHI (West Bengal),15,15,14,SK. MOHAMMAD ALAM,Independent,1042,0,1042,0.47
32,32 - KARANDIGHI (West Bengal),15,15,15,HASIB REJA,Independent,364,0,364,0.17
32,32 - KARANDIGHI (West Bengal),15,15,16,NOTA,None of the Above,1644,3,1647,0.75
33,33 - HEMTABAD (West Bengal),15,15,1,ANAMIKA ROY,Indian National Congress,9526,61,9587,4.01
33,33 - HEMTABAD (West Bengal),15,15,2,ALAKESH BARMAN,Bahujan Samaj Party,511,4,515,0.22
33,33 - HEMTABAD (West Bengal),15,15,3,TANUSHREE DAS,Communist Party of India (Marxist),4958,59,5017,2.1
33,33 - HEMTABAD (West Bengal),15,15,4,SATYAJIT BARMAN,All India Trinamool Congress,102475,693,103168,43.1
33,33 - HEMTABAD (West Bengal),15,15,5,HARIPADA BARMAN,Bharatiya Janata Party,114597,932,115529,48.26
33,33 - HEMTABAD (West Bengal),15,15,6,DIPANKAR ROY,Aam Janata Unnayan party,658,3,661,0.28
33,33 - HEMTABAD (West Bengal),15,15,7,PRABODH KUMAR SARKAR,Socialist Unity Centre Of India (COMMUNIST),237,0,237,0.1
33,33 - HEMTABAD (West Bengal),15,15,8,MANINDRA BARMAN,Amra Bangalee,251,1,252,0.11
33,33 - HEMTABAD (West Bengal),15,15,9,INDRANIL BISWAS,Independent,303,1,304,0.13
33,33 - HEMTABAD (West Bengal),15,15,10,DULAL CHANDRA SARKAR,Independent,1190,1,1191,0.5
33,33 - HEMTABAD (West Bengal),15,15,11,BIKASH MONDAL,Independent,1042,4,1046,0.44
33,33 - HEMTABAD (West Bengal),15,15,12,HARI BARMAN,Independent,449,3,452,0.19
33,33 - HEMTABAD (West Bengal),15,15,13,HAREKRISHNA BARMAN,Independent,655,1,656,0.27
33,33 - HEMTABAD (West Bengal),15,15,14,NOTA,None of the Above,753,4,757,0.32
34,34 - KALIAGANJ (West Bengal),19,19,1,UTPAL BRAHMACHARO,Bharatiya Janata Party,156919,1430,158349,61.32
34,34 - KALIAGANJ (West Bengal),19,19,2,GIRIDHARI PRAMANIK,Indian National Congress,4707,40,4747,1.84
34,34 - KALIAGANJ (West Bengal),19,19,3,NITAI BAISHYA,All India Trinamool Congress,81355,569,81924,31.73
34,34 - KALIAGANJ (West Bengal),19,19,4,BASUDEB DEBSHARMA,Bahujan Samaj Party,697,1,698,0.27
34,34 - KALIAGANJ (West Bengal),19,19,5,HIRU ROY SARKAR,Communist Party of India (Marxist),5661,118,5779,2.24
34,34 - KALIAGANJ (West Bengal),19,19,6,ANJAY DEBSARMA,Aam Janata Unnayan party,184,6,190,0.07
34,34 - KALIAGANJ (West Bengal),19,19,7,DHULESH SARKAR,Socialist Unity Centre Of India (COMMUNIST),126,1,127,0.05
34,34 - KALIAGANJ (West Bengal),19,19,8,AJAY CHOUHAN,Independent,112,4,116,0.04
34,34 - KALIAGANJ (West Bengal),19,19,9,UTTAM BARMAN,Independent,132,1,133,0.05
34,34 - KALIAGANJ (West Bengal),19,19,10,DHARANIKANTA SARKAR,Independent,703,5,708,0.27
34,34 - KALIAGANJ (West Bengal),19,19,11,PANNA CHOWHAN,Independent,405,0,405,0.16
34,34 - KALIAGANJ (West Bengal),19,19,12,MINTU BARMAN,Independent,1293,0,1293,0.5
34,34 - KALIAGANJ (West Bengal),19,19,13,SANJIB ROY,Independent,762,1,763,0.3
34,34 - KALIAGANJ (West Bengal),19,19,14,NOTA,None of the Above,2978,15,2993,1.16
35,35 - RAIGANJ (West Bengal),14,14,1,KRISHNA KALYANI,All India Trinamool Congress,46424,496,46920,28.47
35,35 - RAIGANJ (West Bengal),14,14,2,KOUSHIK CHOWDHURY,Bharatiya Janata Party,103441,2120,105561,64.05
35,35 - RAIGANJ (West Bengal),14,14,3,JIBANANDA SINGHA,Communist Party of India (Marxist),3622,165,3787,2.3
35,35 - RAIGANJ (West Bengal),14,14,4,MANTU KUMAR MANDAL,Bahujan Samaj Party,146,5,151,0.09
35,35 - RAIGANJ (West Bengal),14,14,5,MOHIT SENGUPTA,Indian National Congress,4297,89,4386,2.66
35,35 - RAIGANJ (West Bengal),14,14,6,GOUTAM BISWAS,Amra Bangalee,82,1,83,0.05
35,35 - RAIGANJ (West Bengal),14,14,7,MANJUR ALAM,Aam Janata Unnayan party,72,1,73,0.04
35,35 - RAIGANJ (West Bengal),14,14,8,MADHABILATA PAUL,Socialist Unity Centre Of India (COMMUNIST),115,1,116,0.07
35,35 - RAIGANJ (West Bengal),14,14,9,SAPRATIVE CHAKRABORTY,North Bengal People's Party,75,6,81,0.05
35,35 - RAIGANJ (West Bengal),14,14,10,ANWARUL HOQUE,Independent,45,2,47,0.03
35,35 - RAIGANJ (West Bengal),14,14,11,DWARIK NATH BARMAN,Independent,139,2,141,0.09
35,35 - RAIGANJ (West Bengal),14,14,12,FAKIRA MD,Independent,129,0,129,0.08
35,35 - RAIGANJ (West Bengal),14,14,13,MD. RAFIK ALAM,Independent,302,1,303,0.18
35,35 - RAIGANJ (West Bengal),14,14,14,SABINAY DAS,Independent,1372,0,1372,0.83
35,35 - RAIGANJ (West Bengal),14,14,15,NOTA,None of the Above,1633,21,1654,1
36,36 - ITAHAR (West Bengal),15,15,1,AMAL ACHARJEE,Indian National Congress,27890,155,28045,13.74
36,36 - ITAHAR (West Bengal),15,15,2,MOSARAF HUSSEN,All India Trinamool Congress,97611,561,98172,48.09
36,36 - ITAHAR (West Bengal),15,15,3,SABITA BARMAN,Bharatiya Janata Party,69723,571,70294,34.43
36,36 - ITAHAR (West Bengal),15,15,4,UTPAL DAS,Communist Party of India,2974,41,3015,1.48
36,36 - ITAHAR (West Bengal),15,15,5,TAPAN KUMAR DAS,Socialist Unity Centre Of India (COMMUNIST),130,1,131,0.06
36,36 - ITAHAR (West Bengal),15,15,6,FIROJ ALAM,Aam Janata Unnayan party,117,1,118,0.06
36,36 - ITAHAR (West Bengal),15,15,7,SAIDUR RAHAMAN,Bhumiputra United Party,87,1,88,0.04
36,36 - ITAHAR (West Bengal),15,15,8,KHITAN BARMAN,Independent,58,1,59,0.03
36,36 - ITAHAR (West Bengal),15,15,9,TUFAN BARAMAN,Independent,77,1,78,0.04
36,36 - ITAHAR (West Bengal),15,15,10,DILIP KUMAR BARMAN,Independent,67,1,68,0.03
36,36 - ITAHAR (West Bengal),15,15,11,MOHASIN ALI,Independent,294,2,296,0.14
36,36 - ITAHAR (West Bengal),15,15,12,MAHATAB ALI,Independent,154,1,155,0.08
36,36 - ITAHAR (West Bengal),15,15,13,MOSARAF HOSSAIN,Independent,661,0,661,0.32
36,36 - ITAHAR (West Bengal),15,15,14,SAHANAWAZ ALI,Independent,991,0,991,0.49
36,36 - ITAHAR (West Bengal),15,15,15,SWAPAN KUMAR RAY,Independent,1288,1,1289,0.63
36,36 - ITAHAR (West Bengal),15,15,16,NOTA,None of the Above,692,7,699,0.34
37,37 - KUSHMANDI (West Bengal),20,20,1,TAPAS CHANDRA ROY,Bharatiya Janata Party,96963,474,97437,48.83
37,37 - KUSHMANDI (West Bengal),20,20,2,BABLU SARKAR,Indian National Congress,2635,10,2645,1.33
37,37 - KUSHMANDI (West Bengal),20,20,3,REKHA ROY,All India Trinamool Congress,88086,288,88374,44.29
37,37 - KUSHMANDI (West Bengal),20,20,4,JYOTIRMOY ROY,Revolutionary Socialist Party,6820,41,6861,3.44
37,37 - KUSHMANDI (West Bengal),20,20,5,KANSHA ROY,Independent,358,3,361,0.18
37,37 - KUSHMANDI (West Bengal),20,20,6,NIROD CANDRA ROY,Independent,494,0,494,0.25
37,37 - KUSHMANDI (West Bengal),20,20,7,PARESH ADHIKARI,Independent,1167,0,1167,0.58
37,37 - KUSHMANDI (West Bengal),20,20,8,JUGAL BISWAS,Independent,602,1,603,0.3
37,37 - KUSHMANDI (West Bengal),20,20,9,NOTA,None of the Above,1574,10,1584,0.79
38,38 - KUMARGANJ (West Bengal),17,17,1,GOLAM MORTUJA MONDAL,Indian National Congress,1395,9,1404,0.81
38,38 - KUMARGANJ (West Bengal),17,17,2,TORAF HOSSAIN MANDAL,All India Trinamool Congress,82478,313,82791,47.62
38,38 - KUMARGANJ (West Bengal),17,17,3,BIPUL TUDU,Bahujan Samaj Party,915,1,916,0.53
38,38 - KUMARGANJ (West Bengal),17,17,4,MOFAZZAL HOSSAIN,Communist Party of India (Marxist),10085,64,10149,5.84
38,38 - KUMARGANJ (West Bengal),17,17,5,SUBHENDU SARKAR,Bharatiya Janata Party,75579,527,76106,43.77
38,38 - KUMARGANJ (West Bengal),17,17,6,RANJIT DEV,Socialist Unity Centre Of India (COMMUNIST),722,2,724,0.42
38,38 - KUMARGANJ (West Bengal),17,17,7,CHARLESH KISKU,Independent,449,2,451,0.26
38,38 - KUMARGANJ (West Bengal),17,17,8,RUHUL AMIN HAQUE,Independent,539,0,539,0.31
38,38 - KUMARGANJ (West Bengal),17,17,9,NOTA,None of the Above,782,7,789,0.45
39,39 - BALURGHAT (West Bengal),16,16,1,ARPITA GHOSH,All India Trinamool Congress,47581,540,48121,30.4
39,39 - BALURGHAT (West Bengal),16,16,2,PRADIP KUMAR MITRA,Indian National Congress,1620,28,1648,1.04
39,39 - BALURGHAT (West Bengal),16,16,3,BIDYUT KUMAR ROY,Bharatiya Janata Party,93950,1747,95697,60.45
39,39 - BALURGHAT (West Bengal),16,16,4,JOGESH CHANDRA MURMU,Bahujan Samaj Party,626,3,629,0.4
39,39 - BALURGHAT (West Bengal),16,16,5,ARNAB CHOWDHURY,Revolutionary Socialist Party,8398,195,8593,5.43
39,39 - BALURGHAT (West Bengal),16,16,6,NAMITA MAHANTA (POLI),Socialist Unity Centre Of India (COMMUNIST),290,9,299,0.19
39,39 - BALURGHAT (West Bengal),16,16,7,NAROTTAM SAHA,Amra Bangalee,111,1,112,0.07
39,39 - BALURGHAT (West Bengal),16,16,8,MASUMA KHATUN,Aam Janata Unnayan party,120,2,122,0.08
39,39 - BALURGHAT (West Bengal),16,16,9,DIPANKAR BARMAN,Independent,189,5,194,0.12
39,39 - BALURGHAT (West Bengal),16,16,10,DULAL BARMAN,Independent,174,1,175,0.11
39,39 - BALURGHAT (West Bengal),16,16,11,PRADYUT KUMAR SAHA,Independent,285,5,290,0.18
39,39 - BALURGHAT (West Bengal),16,16,12,MITHUN BARMAN,Independent,510,2,512,0.32
39,39 - BALURGHAT (West Bengal),16,16,13,SUSHIL MARDI,Independent,458,2,460,0.29
39,39 - BALURGHAT (West Bengal),16,16,14,NOTA,None of the Above,1420,24,1444,0.91
40,40 - TAPAN (West Bengal),17,17,1,CHINTAMANI BIHA,All India Trinamool Congress,68427,366,68793,36.85
40,40 - TAPAN (West Bengal),17,17,2,JYOTI KUJUR,Bahujan Samaj Party,920,2,922,0.49
40,40 - TAPAN (West Bengal),17,17,3,BANKIM CHANDRA TOPPO,Indian National Congress,1601,15,1616,0.87
40,40 - TAPAN (West Bengal),17,17,4,BUDHRAI TUDU,Bharatiya Janata Party,104931,849,105780,56.66
40,40 - TAPAN (West Bengal),17,17,5,BAPPAI HORO,Revolutionary Socialist Party,5855,85,5940,3.18
40,40 - TAPAN (West Bengal),17,17,6,BIKASH NONA,Socialist Unity Centre Of India (COMMUNIST),334,2,336,0.18
40,40 - TAPAN (West Bengal),17,17,7,MANUEL HANSADA,Aam Janata Unnayan party,264,1,265,0.14
40,40 - TAPAN (West Bengal),17,17,8,AVIJIT BASKEY,Independent,398,2,400,0.21
40,40 - TAPAN (West Bengal),17,17,9,ARJUN MARDI,Independent,453,0,453,0.24
40,40 - TAPAN (West Bengal),17,17,10,BRIJESH HEMBRAM,Independent,325,3,328,0.18
40,40 - TAPAN (West Bengal),17,17,11,SUKANTA KISKU,Independent,424,4,428,0.23
40,40 - TAPAN (West Bengal),17,17,12,NOTA,None of the Above,1426,15,1441,0.77
41,41 - GANGARAMPUR (West Bengal),18,18,1,Goutam Das,All India Trinamool Congress,76260,484,76744,39.8
41,41 - GANGARAMPUR (West Bengal),18,18,2,JUI BARMAN,Indian National Congress,1561,9,1570,0.81
41,41 - GANGARAMPUR (West Bengal),18,18,3,BIPLAB BARMAN,Communist Party of India (Marxist),5868,123,5991,3.11
41,41 - GANGARAMPUR (West Bengal),18,18,4,JATINDRA NATH BARMAN,Bahujan Samaj Party,606,5,611,0.32
41,41 - GANGARAMPUR (West Bengal),18,18,5,SATYENDRA NATH ROY,Bharatiya Janata Party,104013,1070,105083,54.5
41,41 - GANGARAMPUR (West Bengal),18,18,6,AMRITA BARMAN,Socialist Unity Centre Of India (COMMUNIST),526,4,530,0.27
41,41 - GANGARAMPUR (West Bengal),18,18,7,TARUN RAY,Independent,286,1,287,0.15
41,41 - GANGARAMPUR (West Bengal),18,18,8,SADHAN BISWAS,Independent,567,2,569,0.3
